Total Products in DB: 11
ID: 1, Name: Product 1, Status: 1, Approved: 1
ID: 2, Name: Product 2, Status: 1, Approved: 1
ID: 3, Name: Product 3, Status: 1, Approved: 1
ID: 4, Name: Product 4, Status: 1, Approved: 1
ID: 5, Name: Product 5, Status: 1, Approved: 1
ID: 6, Name: Product 6, Status: 1, Approved: 1
ID: 7, Name: Product 7, Status: 1, Approved: 1
ID: 8, Name: Product 8, Status: 1, Approved: 1
ID: 9, Name: Product 9, Status: 1, Approved: 1
ID: 10, Name: Product 10, Status: 1, Approved: 1
ID: 12, Name: khalil rahman, Status: 1, Approved: 1
